%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
11650	NaN	NaN	1489.87	-36.71	17.66	1621.27	-36.85	10.18	1675.17	-36.48	12.93	98
11700	NaN	NaN	1492.33	-38.05	28.49	1624.14	-37.97	20.94	1677.97	-37.63	23.92	99
11750	NaN	NaN	1493.93	-40.01	95.13	1625.96	-40.29	81.53	1679.66	-40.07	94.31	100
11800	NaN	NaN	1495.43	-40.22	104	1627.6	-40.04	82.7	1681.2	-39.23	100.63	102
11850	NaN	NaN	1496.97	-40.53	115.11	1629.29	-40.31	93.14	1682.74	-39.77	107.17	103
11900	NaN	NaN	1498.35	-39.87	116.19	1630.83	-40.59	114.54	1684.17	-40.54	105.25	105
11950	NaN	NaN	1499.83	-40.59	143.1	1632.48	-40.76	101.58	1685.71	-40.3	90.26	107
12000	NaN	NaN	1501.29	-41.05	116.2	1634.06	-39.95	106.25	1687.2	-39.28	96.64	108
12050	NaN	NaN	1502.79	-39.97	105.58	1635.7	-40.49	94.7	1688.74	-39.1	96.03	110
12100	NaN	NaN	1504.25	-40.29	112.92	1637.37	-40.09	98.35	1690.28	-39.36	90.45	112
12150	NaN	NaN	1505.63	-41.45	136.91	1638.98	-40.56	114.42	1691.76	-40.07	121.61	113
12200	NaN	NaN	1506.94	-40.51	133.07	1640.45	-40.24	133.93	1693.15	-39.8	125.38	115
12250	NaN	NaN	1508.32	-41.3	151.17	1642	-41	136.96	1694.52	-40.47	130.04	116
12300	NaN	NaN	1509.74	-40.28	145.57	1643.56	-40.26	140	1695.98	-40.12	119.74	118
12350	NaN	NaN	1511.1	-40.96	171.5	1645.06	-40.58	170.29	1697.37	-39.28	129.06	120
12400	NaN	NaN	1512.41	-41.04	151.7	1646.6	-40.98	138.98	1698.72	-40.58	130.46	121
12450	NaN	NaN	1513.92	-41.23	118.63	1648.33	-39.96	130.68	1700.27	-39.25	136.76	123
12500	NaN	NaN	1515.27	-40.98	150.89	1649.85	-40.15	151.73	1701.65	-40.8	140.19	125
12550	NaN	NaN	1516.64	-39.67	192.77	1651.39	-40.67	205.19	1703.06	-40.37	159.32	126
12600	NaN	NaN	1517.94	-41.4	203.92	1652.85	-41.63	195.63	1704.39	-40.47	167.52	128
12650	NaN	NaN	1519.19	-41.73	294.29	1654.22	-40.97	238.14	1705.64	-41.38	163.17	130
12700	NaN	NaN	1520.59	-41.56	185.11	1655.75	-41.57	221.17	1707.03	-40.75	167.23	131
12750	NaN	NaN	1522.09	-41.67	204.31	1657.38	-41.87	183.73	1708.53	-39.2	161.62	133
12800	NaN	NaN	1523.44	-40.29	135.99	1658.96	-40.83	120.28	1709.89	-40.24	131.53	134
12850	NaN	NaN	1525.04	-39.91	76.69	1660.76	-39.97	59.4	1711.52	-39.55	55.67	136
12900	NaN	NaN	1526.67	-39.76	42.49	1662.58	-39.13	37.16	1713.21	-39	38.73	138
12950	NaN	NaN	1528.64	-38.48	39.92	1664.83	-38.19	24.5	1715.31	-38.25	23.65	139
13000	NaN	NaN	1530.73	-38.92	36.07	1667.28	-38.11	21.32	1717.55	-38.19	28.68	140
13050	NaN	NaN	1532.68	-39.73	46.53	1669.6	-38.67	37.45	1719.65	-38.02	35.06	142
13100	NaN	NaN	1534.55	-39.94	43.9	1671.77	-39.19	34.62	1721.66	-38.58	43.06	143
13150	NaN	NaN	1536.25	-40.7	56.85	1673.75	-40.09	51.73	1723.47	-40.59	55.19	144
13200	NaN	NaN	1537.94	-40.44	56.08	1675.72	-39.81	54.66	1725.27	-39.32	50.52	146
13250	NaN	NaN	1539.65	-40.22	63.09	1677.67	-39.77	56.34	1727.08	-39.45	50.84	147
13300	NaN	NaN	1541.65	-39.17	36	1680.01	-38.94	35.46	1729.26	-38.26	32.48	148
13350	NaN	NaN	1543.77	-39.27	37.01	1682.44	-38.58	27	1731.5	-38.16	25.95	150
13400	NaN	NaN	1545.94	-38.48	34.79	1685.02	-37.83	26.69	1733.9	-37.54	24.83	151
13450	NaN	NaN	1548.14	-38.39	33.75	1687.6	-37.84	22.51	1736.28	-38.04	24.42	152
13500	NaN	NaN	1550.33	-38.63	36.93	1690.18	-37.78	29.77	1738.66	-37.33	23.83	153
13550	NaN	NaN	1552.65	-38.09	31.53	1692.87	-36.74	29.33	1741.17	-37.56	23.37	155
13600	NaN	NaN	1554.75	-38.85	38.02	1695.3	-37.59	30.21	1743.45	-37.39	32.89	156
13650	NaN	NaN	1556.65	-39.67	64.85	1697.48	-39.05	50.22	1745.45	-38.06	44.27	157
13700	NaN	NaN	1558.84	-38.96	40.6	1700	-37.63	27.15	1747.8	-37.54	25.77	159
13750	NaN	NaN	1561.04	-38.23	31.86	1702.61	-37.5	24.77	1750.21	-37.73	22.22	160
13800	NaN	NaN	1563.36	-39.06	31.24	1705.32	-37.83	29.44	1752.72	-37.24	30.42	161
13850	NaN	NaN	1565.71	-38.41	35.09	1708	-37.9	28.35	1755.24	-37.81	24.63	163
13900	NaN	NaN	1568.06	-38.07	32.8	1710.74	-37.7	31.21	1757.8	-37.82	22.97	164
13950	NaN	NaN	1570.38	-38.17	30.92	1713.36	-37.03	29.78	1760.28	-37.48	20.81	165
14000	NaN	NaN	1572.26	-39.44	51.75	1715.52	-38.35	38.2	1762.31	-38.13	32.49	167
14050	NaN	NaN	1573.94	-39.95	88.03	1717.5	-39.54	62.91	1764.11	-39.22	58.13	168
14100	NaN	NaN	1575.9	-39.47	44.16	1719.74	-38.2	34.84	1766.19	-38.46	22.16	169
14150	NaN	NaN	1578.08	-38.18	29.46	1722.28	-37.44	28.56	1768.57	-37.56	16.02	171
14200	NaN	NaN	1580.19	-38.1	32.37	1724.77	-37.49	29.19	1770.93	-37.57	28.56	172
14250	NaN	NaN	1582.72	-37.77	28.32	1727.7	-36.96	21.63	1773.69	-36.92	19.94	173
14300	NaN	NaN	1585.16	-37.4	31.88	1730.56	-36.31	26.2	1776.35	-36.65	19.39	175
14350	NaN	NaN	1587.74	-37.19	26.83	1733.55	-35.53	23.09	1779.16	-35.79	20.25	176
14400	NaN	NaN	1590.16	-36.79	29.59	1736.36	-36.34	26.4	1781.84	-36.36	23.91	178
14450	NaN	NaN	1592.58	-37.14	30.73	1739.3	-36.12	24.9	1784.58	-35.82	25.18	179
14500	NaN	NaN	1595.05	-36.75	30.65	1742.25	-35.55	19.83	1787.33	-35.47	20.8	180
14550	NaN	NaN	1597.75	-36.11	30.46	1745.44	-35.24	18.59	1790.31	-35.25	21.8	182
14600	NaN	NaN	1600.52	-36.38	26.35	1748.68	-35.52	22.98	1793.34	-35.78	18.51	183
14650	NaN	NaN	1602.83	-37.22	35.22	1751.34	-36.48	27.58	1795.82	-36.53	26.62	184
14700	NaN	NaN	1604.89	-38.79	61.01	1753.68	-37.47	42.39	1798.11	-37.43	39.52	186
14750	NaN	NaN	1606.26	-42.03	135.18	1755.17	-39.38	111.76	1799.47	-39.73	119.13	189
14800	NaN	NaN	1607.68	-40.43	160.36	1756.76	-40.05	147.03	1800.96	-40.16	145.24	191
14850	NaN	NaN	1609.08	-41.13	150.28	1758.3	-39.1	127.96	1802.42	-39.07	125.01	192
14900	NaN	NaN	1610.39	-40.92	185.49	1759.74	-39.79	131.79	1803.8	-40.18	145.01	194
14950	NaN	NaN	1611.58	-41.76	172.33	1761.02	-39.69	126.34	1805	-39.02	127.05	196
15000	NaN	NaN	1612.83	-41.64	197.69	1762.34	-39.51	161.35	1806.24	-39.94	187.52	197
15050	NaN	NaN	1613.94	-42.34	214.11	1763.52	-39.57	157.12	1807.34	-40.15	162.96	198
15100	NaN	NaN	1615.13	-41.9	203.77	1764.78	-39.85	173.31	1808.51	-39.66	156.92	200
15150	NaN	NaN	1616.17	-41.66	207.83	1765.89	-39.68	170.48	1809.54	-37.57	147.36	204
15200	NaN	NaN	1617.32	-42.39	208.09	1767.12	-39.81	201.25	1810.68	-38.68	150.89	205
15250	NaN	NaN	1618.45	-41.76	235.88	1768.32	-39.23	177.88	1811.8	-38.8	172.25	208
15300	NaN	NaN	1619.63	-42.84	233.59	1769.58	-39.02	204.37	1812.97	-38.84	177.97	209
15350	NaN	NaN	1620.81	-41.27	164.43	1770.84	-39.51	174.22	1814.14	-39.99	134.1	212
15400	NaN	NaN	1621.92	-40.62	176.59	1772.02	-39.32	204.28	1815.24	-38.95	174.31	214
15450	NaN	NaN	1623.05	-42.85	205.48	1773.19	-39.65	182.15	1816.37	-40.63	163.14	217
15500	NaN	NaN	1624.25	-42	194.06	1774.44	-39.88	154.04	1817.56	-39.05	164.14	219
15550	NaN	NaN	1625.37	-42.71	171.79	1775.6	-39.76	178.91	1818.68	-39.26	222.21	221
15600	NaN	NaN	1626.44	-43.51	198.14	1776.73	-41.04	202.44	1819.75	-39.72	227.24	224
15650	NaN	NaN	1627.55	-42.2	177.27	1777.91	-39.64	175.22	1820.86	-39.39	131.14	226
15700	NaN	NaN	1628.56	-41.92	231.77	1778.96	-39.55	190.02	1821.85	-38.84	132.26	226
15750	NaN	NaN	1629.63	-43.81	175.8	1780.05	-39.35	180.31	1822.88	-39.88	143.32	229
15800	NaN	NaN	1630.6	-43.52	230.17	1781.04	-40.56	209.65	1823.81	-40.68	187.71	231
15850	NaN	NaN	1631.74	-40.81	199.19	1782.21	-39.88	219.15	1824.91	-41.62	160.24	234
15900	NaN	NaN	1632.96	-41.9	200.86	1783.46	-40.1	197.5	1826.09	-39.4	186.93	235
15950	NaN	NaN	1634.08	-41.72	209.43	1784.6	-39.61	227.16	1827.16	-39.96	200.72	237
16000	NaN	NaN	1635.26	-41.67	264.68	1785.81	-39.97	224.57	1828.3	-41.08	162.39	241
16050	NaN	NaN	1636.42	-41.39	238.96	1786.99	-41.27	307.83	1829.42	-40.4	191.57	246
16100	NaN	NaN	1637.54	-43.7	280.54	1788.14	-40.81	338.55	1830.5	-41.07	191.61	248
16150	NaN	NaN	1638.65	-42	267.73	1789.28	-41.01	372.59	1831.57	-40.94	198.35	251
16200	NaN	NaN	1639.76	-42.26	304.9	1790.41	-39.89	256.93	1832.64	-40.34	194.06	254
16250	NaN	NaN	1640.85	-42.08	218.99	1791.53	-39.77	275.51	1833.69	-38.72	179.99	256
16300	NaN	NaN	1641.94	-41.7	257.25	1792.64	-39.02	245.68	1834.74	-40.4	179.06	259
16350	NaN	NaN	1643.03	-41.83	223.04	1793.77	-39.38	254.82	1835.8	-40.64	189.51	261
16400	NaN	NaN	1644.22	-41.87	269.81	1795.02	-39.6	262.67	1836.99	-40.39	185.84	265
16450	NaN	NaN	1645.45	-41.32	257.29	1796.32	-39.64	294.6	1838.22	-39.34	164.85	266
16500	NaN	NaN	1646.55	-41.72	297.69	1797.49	-40.25	330.93	1839.36	-40.27	179.51	269
16550	NaN	NaN	1647.74	-40.07	234.47	1798.77	-39.28	317.26	1840.62	-39.81	199.78	272
16600	NaN	NaN	1648.75	-40.91	305.52	1799.86	-38.84	298.15	1841.69	-39.55	206.97	273
16650	NaN	NaN	1649.96	-42.24	284.98	1801.16	-39.27	355.95	1842.98	-40.51	232.28	278
16700	NaN	NaN	1651.2	-41.25	269.66	1802.5	-39.74	312.96	1844.29	-39.5	189.87	280
16750	NaN	NaN	1652.33	-41.13	280.5	1803.71	-40.29	394.64	1845.49	-41.25	217.95	283
16800	NaN	NaN	1653.52	-41.1	295.92	1804.99	-39.54	393.47	1846.75	-40.29	213.99	285
16850	NaN	NaN	1654.7	-39.89	255.04	1806.26	-39.81	418.1	1848	-40.49	204.88	289
16900	NaN	NaN	1655.84	-40.14	250.05	1807.49	-39.59	374.71	1849.21	-40.45	221.7	293
16950	NaN	NaN	1656.88	-41.92	299.3	1808.61	-40.54	386.95	1850.31	-41.21	205.31	295
17000	NaN	NaN	1658.02	-41.58	324.43	1809.84	-40.36	411.92	1851.52	-41.24	259.93	299
17050	NaN	NaN	1659.15	-41.21	258.05	1811.05	-39.7	337.61	1852.71	-40.43	232.75	302
17100	NaN	NaN	1660.37	-39.39	275.98	1812.37	-39.29	313.63	1854.01	-39.23	201.98	306
17150	NaN	NaN	1661.62	-40.8	271.94	1813.71	-40.28	353.83	1855.33	-39.58	197.82	309
17200	NaN	NaN	1662.8	-40.64	279.85	1815.03	-39.92	400.62	1856.58	-40.93	250.55	312
17250	NaN	NaN	1663.98	-41.1	316.24	1816.43	-39.53	306.26	1857.83	-40.84	243.22	314
17300	NaN	NaN	1665.04	-40.13	262.1	1817.68	-40.51	388.99	1858.95	-40.82	270.69	317
17350	NaN	NaN	1666.1	-40.98	341.43	1818.83	-39.67	383.7	1860.08	-41.21	271.22	322
17400	NaN	NaN	1667.31	-40.58	346.21	1820.06	-40.52	397.23	1861.36	-40.86	224.75	325
17450	NaN	NaN	1668.41	-42.45	378.37	1821.17	-40.72	427.34	1862.52	-41.3	322	329
17500	NaN	NaN	1669.55	-40.91	321.12	1822.33	-39.2	347.7	1863.73	-40.84	247.42	331
17550	NaN	NaN	1670.56	-41.04	304.13	1823.35	-38.74	280.73	1864.8	-39.94	219.94	333
17600	NaN	NaN	1671.65	-40.55	230.92	1824.45	-39.35	243.56	1865.96	-40.43	195.33	334
17650	NaN	NaN	1672.84	-39.57	240.11	1825.66	-38.97	215.96	1867.22	-40.45	173.62	337
17700	NaN	NaN	1674.11	-40.75	192.44	1826.95	-38.66	178.17	1868.56	-39.85	148.24	338
17750	NaN	NaN	1675.11	-41.67	203.55	1827.96	-38.64	214.08	1869.62	-40.96	186.66	342
17800	NaN	NaN	1676.27	-41.15	173.44	1829.13	-39.17	211.53	1870.85	-40.12	142.94	343
17850	NaN	NaN	1677.55	-40.41	177.23	1830.43	-38.66	151.86	1872.21	-40.22	132.37	346
17900	NaN	NaN	1678.67	-42.44	242.12	1831.56	-38.11	206.11	1873.4	-39.72	195.77	347
17950	NaN	NaN	1679.85	-41.75	259.09	1832.76	-38.86	275.78	1874.65	-40.64	176.96	349
18000	NaN	NaN	1680.96	-42.61	256.81	1833.88	-38.66	236.61	1875.82	-40.66	205.57	351
18050	NaN	NaN	1682.02	-41.7	292.64	1834.96	-39.58	287.4	1876.94	-40.8	223.66	352
18100	NaN	NaN	1683.07	-42.56	210.03	1836.02	-39.41	198.56	1878.06	-40.25	161.89	355
18150	NaN	NaN	1684.3	-42.37	207.27	1837.27	-39.71	193.58	1879.36	-39.11	152.05	357
18200	NaN	NaN	1685.55	-40.87	214.96	1838.53	-37.99	158.3	1880.69	-38.81	132.26	358
18250	NaN	NaN	1686.71	-41.63	242.69	1839.71	-39.21	231.6	1881.91	-40.19	155.12	359
18300	NaN	NaN	1687.86	-43.17	235.71	1840.87	-39.47	206.26	1883.12	-40.6	159.48	361
18350	NaN	NaN	1689.01	-42.13	214.98	1842	-39.09	238.07	1884.24	-40.19	209.64	363
18400	NaN	NaN	1690.04	-42.73	218.88	1843.01	-38.71	197.95	1885.24	-39.14	140.88	365
18450	NaN	NaN	1691.1	-42.16	174.86	1844.05	-37.91	149.41	1886.27	-39.97	128.33	367
18500	NaN	NaN	1692.19	-41.49	170.57	1845.13	-39.04	149.49	1887.33	-39.93	118.64	370
18550	NaN	NaN	1693.31	-41.46	177.02	1846.23	-38.65	168.76	1888.42	-39.53	143.91	373
18600	NaN	NaN	1694.41	-41.65	179.35	1847.32	-38.96	160.37	1889.48	-39.66	134.25	377
18650	NaN	NaN	1695.58	-41.09	189.41	1848.46	-39.39	198.93	1890.62	-40.04	154.19	380
18700	NaN	NaN	1696.74	-40.75	189.09	1849.6	-38.63	188.21	1891.75	-39.47	166.99	381
18750	NaN	NaN	1697.9	-41.49	219.06	1850.73	-38.62	186.61	1892.87	-39.3	166.05	384
18800	NaN	NaN	1699.01	-41.91	179.51	1851.82	-39.85	197.35	1893.95	-40.55	161.64	386
18850	NaN	NaN	1700.26	-41.41	187.72	1853.06	-40.09	176.95	1895.17	-39.24	140.45	389
18900	NaN	NaN	1701.38	-40.52	168.94	1854.21	-40.01	188.03	1896.27	-40.25	173.33	392
18950	NaN	NaN	1702.47	-41.82	255.29	1855.33	-38.5	218.51	1897.34	-39.29	139.03	395
19000	NaN	NaN	1703.56	-41.7	203.1	1856.44	-38.65	214.55	1898.42	-39.24	138.93	398
19050	NaN	NaN	1704.64	-41.22	184.25	1857.55	-39.02	171.43	1899.48	-39.21	163.57	401
19100	NaN	NaN	1705.76	-42.25	166.17	1858.7	-39.09	220.86	1900.58	-40.17	153.95	402
19150	NaN	NaN	1706.87	-42.03	220.61	1859.84	-38.79	201.96	1901.66	-39.04	154.37	406
19200	NaN	NaN	1708.02	-42.7	252.19	1861.01	-38.7	199.47	1902.78	-38.71	158.46	407
19250	NaN	NaN	1709.06	-41.61	219.75	1862.08	-39.31	181.3	1903.79	-39.42	146.34	410
19300	NaN	NaN	1710.14	-42.68	218.29	1863.19	-39.44	186.31	1904.83	-39.52	145.16	412
19350	NaN	NaN	1711.25	-40.95	142.13	1864.32	-38.98	156.12	1905.91	-38.27	119.44	414
19400	NaN	NaN	1712.33	-42.27	164.82	1865.43	-38.4	147.19	1906.96	-38.89	130.45	416
19450	NaN	NaN	1713.51	-42.42	202.32	1866.64	-38.67	158.5	1908.1	-40.24	146.26	420
19500	NaN	NaN	1714.61	-41.5	178.59	1867.77	-40	185.93	1909.17	-39.6	171.6	422
19550	NaN	NaN	1715.76	-41.58	182.48	1868.98	-39.41	183.78	1910.3	-40.35	156.15	424
19600	NaN	NaN	1716.99	-41.6	183.75	1870.26	-39.25	170.64	1911.5	-39.98	129.75	426
19650	NaN	NaN	1718.08	-41.35	198.78	1871.4	-39.56	168.65	1912.57	-39.23	153.26	428
19700	NaN	NaN	1719.11	-40.71	209.71	1872.48	-39.49	202.66	1913.57	-39.25	146.73	431
19750	NaN	NaN	1720.07	-41.93	231.75	1873.47	-40.31	299.5	1914.51	-39.89	184.97	433
19800	NaN	NaN	1721.17	-41.84	244.5	1874.6	-40.99	254.81	1915.59	-40.67	185.39	434
19850	NaN	NaN	1722.29	-41.97	228.95	1875.75	-39.45	220.79	1916.67	-40.08	182.77	438
19900	NaN	NaN	1723.44	-40.75	212.81	1876.93	-39.86	249.44	1917.79	-39.3	203.98	439
19950	NaN	NaN	1724.58	-41.49	192.86	1878.11	-39.55	215.58	1918.89	-39.64	214.24	441
20000	NaN	NaN	1725.63	-42.37	229.91	1879.19	-41.02	233.65	1919.91	-40.78	232.76	444
20050	NaN	NaN	1726.72	-41.78	219.43	1880.31	-40.24	220.85	1920.96	-38.99	258.04	445
20100	NaN	NaN	1727.81	-42.48	268.44	1881.43	-40.45	232.5	1922.02	-39.93	214.75	447
20150	NaN	NaN	1728.9	-42.19	199.83	1882.56	-39.55	227.11	1923.08	-39.95	150.72	449
20200	NaN	NaN	1730.04	-42.72	181.67	1883.75	-40.09	191.61	1924.18	-39.69	127.84	452
20250	NaN	NaN	1731.23	-41.29	157.64	1884.99	-39.85	192.65	1925.33	-39.96	133.09	453
20300	NaN	NaN	1732.41	-42.15	218.01	1886.22	-40.55	226.12	1926.47	-39.82	148.46	454
20350	NaN	NaN	1733.54	-42.5	175.99	1887.4	-40.62	226.74	1927.57	-40.64	187.41	458
20400	NaN	NaN	1734.57	-43.51	252.19	1888.48	-41.02	324.5	1928.57	-41.54	247.73	460
20450	NaN	NaN	1735.62	-42.76	292.41	1889.58	-40.84	293.97	1929.58	-40.35	194.69	462
20500	NaN	NaN	1736.75	-42.39	229.52	1890.76	-41.18	229.44	1930.68	-40.38	186.27	463
20550	NaN	NaN	1737.85	-43.63	221.9	1891.91	-40.31	191.28	1931.74	-39.91	147.53	465
20600	NaN	NaN	1738.97	-42.86	241.59	1893.08	-39.92	191.39	1932.83	-39.76	135.86	467
20650	NaN	NaN	1740.08	-41.87	168.29	1894.24	-39.03	168.05	1933.9	-38.71	143.58	471
20700	NaN	NaN	1741.14	-41.4	174.99	1895.34	-40.62	207.21	1934.93	-38.98	136.1	473
20750	NaN	NaN	1742.2	-41.41	184.87	1896.45	-39.92	181.82	1935.96	-39.55	140.12	475
20800	NaN	NaN	1743.32	-42.66	244.11	1897.62	-40.21	237.1	1937.04	-40.03	175.63	476
20850	NaN	NaN	1744.32	-42.21	240.63	1898.67	-39.52	261.19	1938.01	-40	186.61	478
20900	NaN	NaN	1745.31	-42.62	238.53	1899.7	-40.99	295.59	1938.97	-39.78	218.52	482
20950	NaN	NaN	1746.3	-43.1	270.12	1900.74	-40.89	257.96	1939.93	-39.19	174.02	486
21000	NaN	NaN	1747.3	-43.66	261.67	1901.78	-40.68	260.32	1940.9	-41.02	168.11	488
21050	NaN	NaN	1748.26	-43.07	219.81	1902.78	-40.5	271.96	1941.82	-40.66	156.26	491
21100	NaN	NaN	1749.18	-43.02	274.68	1903.74	-41.31	258.61	1942.72	-41.19	183.11	495
21150	NaN	NaN	1750.1	-42.23	267.36	1904.71	-40.29	258.02	1943.61	-40.57	176.48	497
21200	NaN	NaN	1751.11	-42.75	278.51	1905.76	-41.13	270.74	1944.58	-41.62	213.1	499
21250	NaN	NaN	1752.09	-43.14	289.16	1906.78	-40.76	234.19	1945.53	-40.63	193.15	502
21300	NaN	NaN	1753.09	-42.14	234.49	1907.83	-40.66	305.32	1946.5	-41	234.77	503
21350	NaN	NaN	1754.04	-42.73	NaN	1908.82	-41.83	276.93	1947.42	-41.37	222	505
21400	NaN	NaN	1755	-42.48	254.87	1909.82	-40.77	280.19	1948.35	-41.37	250.33	508
21450	NaN	NaN	1755.94	-42.16	276.79	1910.81	-41.34	288.64	1949.26	-41.59	246.89	511
21500	NaN	NaN	1756.9	-43.75	319.88	1911.81	-41.99	394.24	1950.19	-41.41	212.54	513
21550	NaN	NaN	1757.86	-42.18	293.42	1912.81	-41.21	281.4	1951.12	-41.4	217.66	514
21600	NaN	NaN	1758.76	-41.76	298.38	1913.75	-40.36	348.89	1951.99	-41.36	238.11	517
21650	NaN	NaN	1759.74	-42.64	305.17	1914.78	-41.12	327.61	1952.94	-41.54	252.36	519
21700	NaN	NaN	1760.62	-42.06	342.83	1915.7	-41.09	382.45	1953.8	-41.07	259.42	521
21750	NaN	NaN	1761.61	-43.92	365.54	1916.73	-42.08	369.29	1954.75	-41.7	250.95	524
21800	NaN	NaN	1762.53	-43.2	367.65	1917.69	-41.32	292.8	1955.64	-40.27	205.57	527
21850	NaN	NaN	1763.48	-43.06	290.49	1918.68	-40.73	270.28	1956.56	-40.92	166.83	529
21900	NaN	NaN	1764.45	-42.52	223.67	1919.7	-39.92	257.69	1957.5	-41.02	174.21	530
21950	NaN	NaN	1765.43	-42.14	279.85	1920.72	-41.23	282.03	1958.45	-41.01	190.76	531
22000	NaN	NaN	1766.36	-42.6	263.09	1921.69	-40.71	273.86	1959.35	-40.4	161.5	532
22050	NaN	NaN	1767.25	-41.78	270.92	1922.62	-41.37	276.15	1960.22	-41.28	198.18	534
22100	NaN	NaN	1768.18	-41.87	241.59	1923.59	-40.64	274.15	1961.12	NaN	174.07	536
22150	NaN	NaN	1769.05	-42.58	286.45	1924.5	-41.5	322.74	1961.96	-41.3	170.1	538
22200	NaN	NaN	1770	-41.43	274.89	1925.5	-40.97	272.68	1962.88	-40.14	179.78	541
22250	NaN	NaN	1770.92	-41.46	268.96	1926.46	-40.18	245.85	1963.77	-40.6	185.96	544
22300	NaN	NaN	1771.81	-42.04	295.18	1927.43	-40.61	271.85	1964.66	-39.93	182.07	547
22350	NaN	NaN	1772.77	-42.76	306.25	1928.48	-40.65	291.02	1965.61	-40.05	175.47	548
22400	NaN	NaN	1773.74	-42.41	307.77	1929.54	-42.05	323.01	1966.57	-40.94	211.14	551
22450	NaN	NaN	1774.73	-42.59	218.81	1930.62	-41.74	277.83	1967.55	-40.99	213.92	553
22500	NaN	NaN	1775.76	-42.24	248.52	1931.74	-41.09	231.41	1968.58	-40.98	163.1	554
22550	NaN	NaN	1776.78	-43.3	261.51	1932.85	-40.51	277.26	1969.59	-39.43	154.55	558
22600	NaN	NaN	1777.75	-42.35	228.29	1933.91	-41.23	245.53	1970.55	-40.8	157.3	561
22650	NaN	NaN	1778.69	-42.15	289.84	1934.94	-40.2	248.08	1971.48	-40.86	184.35	563
22700	NaN	NaN	1779.66	-43.33	273.06	1935.99	-42.08	260.29	1972.44	-40.85	201.29	564
22750	NaN	NaN	1780.69	-41.48	202.14	1937.12	-40.68	212.03	1973.47	-40.53	169.17	567
22800	NaN	NaN	1781.74	-41.24	236.17	1938.26	-40.17	217.24	1974.51	-41.07	203.78	568
22850	NaN	NaN	1782.64	-42	250.4	1939.24	-41.42	254.38	1975.4	-40.38	191.51	571
22900	NaN	NaN	1783.62	-42.54	274.9	1940.28	-40.26	195.63	1976.37	-40.86	205.2	573
22950	NaN	NaN	1784.72	-41.06	116.58	1941.46	-39.42	111.08	1977.46	-38.68	94.35	578
23000	NaN	NaN	1785.85	-41.51	142.52	1942.66	-38.53	93.76	1978.59	-39.5	109.93	582
23050	NaN	NaN	1786.85	-42.55	199.13	1943.72	-40.31	150.62	1979.58	-40.21	156.7	585
23100	NaN	NaN	1787.94	-42.49	258.48	1944.88	-41.16	197.7	1980.66	-40.3	159.19	586
23150	NaN	NaN	1789	-42.76	260.83	1946.01	-41.54	180.87	1981.71	-40.26	188.52	588
23200	NaN	NaN	1789.92	-41.63	271.63	1946.99	-41.56	209.22	1982.62	-40.45	213.48	590
23250	NaN	NaN	1790.94	-41.5	154.36	1948.07	-40.57	181.84	1983.64	-40.52	149.51	591
23300	NaN	NaN	1792.16	-39.95	97.56	1949.37	-38.62	94.01	1984.85	-39.03	85.79	594
23350	NaN	NaN	1793.46	-40.35	83.74	1950.75	-38.33	63.75	1986.14	-38.34	73.36	596
23400	NaN	NaN	1794.49	-42.38	252.73	1951.85	-39.13	122.93	1987.16	-39.61	169.02	599
23450	NaN	NaN	1795.44	-43.53	445.14	1952.86	-41.34	286.19	1988.1	-40.76	291.06	602
23500	NaN	NaN	1796.35	-41.88	573.58	1953.83	-41.41	507.42	1989	-41.99	548.22	607
23550	NaN	NaN	1797.22	-44.27	572.71	1954.75	-41.77	561.11	1989.87	-40.96	482.71	610
23600	NaN	NaN	1798.03	-43.38	655.34	1955.62	-41.82	661.69	1990.67	-41.98	810.31	611
23650	NaN	NaN	1798.86	-44.38	642.24	1956.49	-41.62	650.95	1991.47	-41.49	607.46	614
23700	NaN	NaN	1799.67	-43.62	587.75	1957.33	-42.58	619.37	1992.24	-42.39	621.53	618
23750	NaN	NaN	1800.47	-43.88	556.17	1958.16	-42.95	625.14	1993.01	-41.95	531.35	623
23800	NaN	NaN	1801.27	-43.4	599.94	1959	-41.41	619.93	1993.77	-41.32	531.09	625
23850	NaN	NaN	1802.06	-44.02	809.99	1959.82	-42.45	732.81	1994.52	-42.33	669.64	628
23900	NaN	NaN	1802.85	-43.52	615.01	1960.63	-43.8	627.33	1995.27	-42.1	690.88	632
23950	NaN	NaN	1803.6	-43.34	622.81	1961.4	-42.27	680.4	1995.99	-42.18	694.89	634
24000	NaN	NaN	1804.35	-42.96	649.7	1962.17	-42.07	746.08	1996.7	-42.13	581.92	636
